ACCx,, ACCy, ACCz, GYRx, GYRy, GYRz, Temp(*C), Pressure(Pa), Altitude(m), Sealevel Pressure(Pa),
38,63.67499828,-62,-253,250,557,293,27.3,99904,119.3191257,99898,
45,49.66874957,-17,-224,212,-1160,-472,27.3,99894,119.2349111,99900,
5,16.16718739,5,-257,-144,1292,-44,27.3,99894,119.3191257,99897,
248,190.0417968,8,20,40,203,-106,27.3,99894,119.9086468,99900,
243,229.7604492,-5,-68,-109,-19,189,27.3,99909,119.4875569,99901,
245,241.1901123,-23,-50,-3,-308,948,27.3,99901,119.8244274,99898,
248,246.2975281,-24,-70,-11,102,-319,27.3,99901,119.066484,99901,
237,239.324382,-50,-29,9,186,626,27.3,99893,119.4875569,99897,
266,259.3310955,12,24,-112,27,-67,27.3,99893,119.3191257,99891,
270,267.3327739,60,-127,189,-3136,-1147,27.3,99896,119.9086468,99897,
202,218.3331935,30,-87,1160,-92,-1123,27.3,99894,119.6559908,99895,
144,162.5832984,12,-188,-1081,738,-1193,27.3,99901,119.9086468,99893,
254,231.1458246,10,-61,58,-820,1053,27.3,99900,120.0770875,99894,
80,117.7864561,235,-140,3067,-1331,-414,27.3,99894,119.5717735,99906,
97,102.196614,20,-195,-2716,2089,5,27.3,99903,118.9822715,99903,
134,126.0491535,260,-108,-450,-863,-461,27.3,99897,119.7402088,99903,
208,187.5122884,199,-128,-1241,884,-821,27.3,99904,119.9086468,99895,
240,226.8780721,195,-259,334,190,-33,27.3,99893,119.4875569,99898,
118,145.219518,115,-185,-1798,495,-1274,27.3,99890,119.3191257,99893,
148,147.3048795,69,-181,-4407,2169,1368,27.3,99903,120.0770875,99890,
260,231.8262199,109,-60,-997,1028,-207,27.3,99897,119.4875569,99900,
192,201.956555,60,-165,342,-434,92,27.3,99900,120.0770875,99903,
129,147.2391387,28,-146,4282,-3038,-595,27.3,99898,119.4875569,99893,
141,142.5597847,133,-178,4459,-2567,506,27.3,99893,118.9822715,99897,
227,205.8899462,-2,-74,-255,1114,1077,27.3,99898,119.4875569,99903,
199,200.7224865,28,-161,-31,-30,-45,27.3,99890,120.0770875,99897,
119,139.4306216,-33,-133,-1217,775,-526,27.3,99903,119.2349111,99897,
100,109.8576554,224,-137,900,-1140,-258,27.3,99894,120.0770875,99893,
200,177.4644139,166,-181,3505,-2368,1196,27.3,99903,119.066484,99898,
187,184.6161035,162,-180,2376,-1439,902,27.3,99903,119.066484,99904,
202,197.6540259,79,-195,-138,32,353,27.3,99900,118.9822715,99907,
137,152.1635065,62,-236,3054,-4135,545,27.3,99897,119.5717735,99897,
176,170.0408766,2,-150,449,-601,360,27.3,99906,119.066484,99904,
112,126.5102192,-114,-116,-3704,-2875,-47,27.3,99903,119.6559908,99900,
142,138.1275548,-64,-204,-317,-198,2,27.3,99903,119.066484,99903,
238,213.0318887,62,-136,208,-728,98,27.3,99897,119.2349111,99894,
206,207.7579722,-36,122,-241,-452,-121,27.3,99896,120.0770875,99900,
170,179.439493,68,-194,1130,-284,-768,27.3,99897,119.2349111,99903,
156,161.8598733,39,-208,-64,48,12,27.3,99896,119.4875569,99906,
129,137.2149683,49,-61,-168,219,-838,27.3,99897,118.9822715,99898,
131,132.5537421,0,-216,810,147,155,27.3,99900,119.8244274,99906,
242,214.6384355,27,-148,-669,1218,253,27.3,99891,119.2349111,99897,
60,98.65960888,-54,-252,-699,434,377,27.3,99893,119.9086468,99900,
89,91.41490222,4,-124,-4742,4129,981,27.3,99893,119.7402088,99897,
205,176.6037256,211,-98,-2600,1274,339,27.3,99906,119.7402088,99895,
511,427.4009314,327,-226,2484,-1179,3519,27.3,99904,119.3191257,99897,
205,260.6002328,134,8,9,573,-65,27.3,99900,120.3297538,99895,
511,448.4000582,249,-310,96,690,-4633,27.3,99891,119.9086468,99894,
116,199.1000146,151,-141,-2128,-4,-878,27.3,99890,120.0770875,99895,
125,143.5250036,43,-130,491,840,-982,27.3,99890,120.1613089,99893,
184,173.8812509,2,-152,-1768,243,-786,27.3,99891,119.4875569,99891,
113,128.2203127,126,-186,-393,-65,1338,27.3,99898,119.4875569,99900,
99,106.3050782,220,-121,-7574,2099,-2296,27.3,99897,119.4875569,99898,
136,128.5762695,268,-141,3830,115,2543,27.3,99895,119.3191257,99893,
139,136.3940674,16,-210,-5387,39,-1528,27.3,99891,120.5824262,99890,
96,106.0985168,200,-116,3763,-386,1296,27.3,99891,119.3191257,99900,
57,69.27462921,242,-21,91,-455,-697,27.3,99891,120.3297538,99895,
110,99.8186573,211,-137,1220,18,303,27.3,99891,120.1613089,99891,
150,137.4546643,-8,-205,949,366,245,27.3,99895,119.7402088,99890,
54,74.86366608,190,-146,240,88,233,27.3,99898,119.9086468,99900,
38,47.21591652,219,-132,466,-21,135,27.3,99893,119.2349111,99894,
209,168.5539791,208,-169,-1209,970,-986,27.3,99891,119.3191257,99898,
70,94.63849478,33,-270,881,-1001,-596,27.3,99897,119.8244274,99894,
174,154.1596237,87,-165,-1581,1444,-801,27.3,99895,119.7402088,99897,
109,120.2899059,236,-219,-6122,2890,-1364,27.3,99891,119.5717735,99901,
98,103.5724765,162,-129,4441,-381,718,27.3,99897,119.5717735,99894,
71,79.14311912,11,-134,-4954,-1539,-814,27.3,99894,119.9086468,99893,
79,79.03577978,163,-205,-6958,1100,75,27.3,99894,119.7402088,99893,
132,118.7589449,185,-154,5014,-1069,2182,27.3,99890,119.8244274,99894,
58,73.18973624,-12,-131,-2015,752,-171,27.3,99893,119.8244274,99891,
88,84.29743406,-17,-227,779,-1327,679,27.3,99895,119.5717735,99890,
84,84.07435851,266,-164,-3222,1355,-18,27.3,99894,119.4875569,99895,
122,112.5185896,131,-225,1490,804,385,27.3,99891,120.0770875,99884,
140,133.1296474,-64,-183,59,-69,117,27.3,99897,119.5717735,99893,
159,152.5324119,-256,-182,4922,3881,-550,27.3,99895,120.0770875,99893,
101,113.883103,-65,-251,-862,-97,-53,27.3,99888,119.8244274,99897,
62,74.97077574,10,-228,732,-1033,-934,27.3,99894,119.9086468,99894,
44,51.74269394,187,-176,-6846,387,66,27.3,99890,119.5717735,99894,
66,62.43567348,90,-144,4794,-153,2094,27.3,99888,119.9086468,99894,
263,212.8589184,238,-263,5525,-3757,2815,27.3,99897,119.8244274,99897,
196,200.2147296,28,-188,-445,539,243,27.3,99894,119.5717735,99898,
90,117.5536824,-137,-121,3468,-1977,499,27.3,99903,119.8244274,99891,
129,126.1384206,-113,-207,2060,-1366,703,27.3,99890,120.0770875,99893,
161,152.2846051,-71,-188,173,-84,84,27.3,99891,120.0770875,99898,
157,155.8211513,-67,-175,-30,-22,345,27.3,99897,120.3297538,99888,
130,136.4552878,-127,-164,176,-18,19,27.3,99898,119.7402088,99890,
117,121.863822,-135,-143,562,-238,-25,27.3,99897,119.5717735,99891,
144,138.4659555,-132,-162,84,7,-22,27.4,99901,120.0770875,99900,
143,141.8664889,-131,-163,-36,47,-25,27.4,99898,120.0770875,99893,
171,163.7166222,-78,-190,-1256,795,-222,27.4,99890,120.0770875,99890,
176,172.9291556,-68,-175,170,-102,18,27.4,99894,119.4875569,99895,
164,166.2322889,-93,-172,755,-422,194,27.4,99893,119.9086468,99893,
73,96.30807222,-130,-4,-1531,466,186,27.4,99890,119.8244274,99894,
216,186.0770181,0,-199,-670,312,-758,27.4,99891,119.9086468,99890,
133,146.2692545,-131,-108,-327,-97,-172,27.4,99894,120.1613089,99891,
128,132.5673136,-132,-158,-241,174,175,27.4,99893,119.7402088,99890,
121,123.8918284,58,-131,-6027,3035,-1751,27.4,99890,119.8244274,99890,
123,123.2229571,-25,-131,-1923,600,-362,27.4,99893,119.8244274,99894,
89,97.55573928,-79,-115,-2848,781,-227,27.4,99890,119.8244274,99888,
105,103.1389348,35,-152,-1376,-56,-2048,27.4,99887,120.5824262,99891,
65,74.5347337,157,-185,-103,989,-879,27.4,99893,119.9086468,99891,
195,164.8836834,129,-80,1146,-1739,570,27.4,99887,120.3297538,99893,
126,135.7209209,79,-193,-353,264,88,27.4,99893,119.9086468,99888,
72,87.93023021,-83,7,-1355,407,-226,27.4,99893,119.9086468,99894,
196,168.9825576,37,-175,-1328,1887,191,27.4,99895,119.4875569,99890,
221,207.9956394,9,-105,465,-952,-1105,27.4,99890,120.0770875,99895,
248,237.9989098,63,-85,4,194,-145,27.4,99890,120.1613089,99900,
241,240.2497275,17,-56,70,-637,771,27.4,99893,120.3297538,99888,
201,210.8124319,-69,-73,589,-1555,1148,27.4,99894,120.0770875,99894,
217,215.453108,-134,-81,61,-187,-335,27.4,99894,119.7402088,99895,
222,220.363277,-26,-120,-65,17,15,27.4,99893,120.1613089,99888,
219,219.3408192,-5,-158,1351,-1584,526,27.4,99893,119.5717735,99890,
199,204.0852048,101,-214,-391,527,-408,27.4,99888,119.8244274,99890,
108,132.0213012,2,-153,616,-1305,-671,27.4,99893,119.066484,99901,
127,128.2553253,112,-238,-488,258,-62,27.4,99894,120.3297538,99893,
195,178.3138313,139,-201,456,844,37,27.4,99894,120.5824262,99897,
128,140.5784578,185,-189,-5400,3016,-698,27.4,99893,119.4875569,99897,
89,101.8946145,124,-132,-6185,4005,-1726,27.4,99885,119.2349111,99898,
91,93.72365361,15,-73,2045,-1271,615,27.4,99895,120.1613089,99891,
156,140.4309134,182,-206,4739,-2651,2444,27.4,99888,119.5717735,99891,
247,220.3577284,170,-201,-1569,2107,-972,27.4,99888,120.0770875,99895,
62,101.5894321,-64,-137,1914,-1085,677,27.4,99891,120.1613089,99893,
102,101.897358,148,-207,-5345,4858,-1585,27.4,99907,120.3297538,99895,
94,95.97433951,-41,-192,608,-428,-298,27.4,99898,119.4875569,99888,
102,100.4935849,29,-238,-1,45,3,27.4,99893,119.5717735,99895,
