ACCx angle,ACCy angle,GRYx Angle,GRYy Angle,GRYz Angle,CFangleX Angle,CFangleY Angle,kalmanX,kalmanY
204.77514230907593,182.9414665486056,0.14037466100000004,1.05,-0.21000000000000002,122.92123524984555,110.18487992916336,163.84818877946074,146.56317323888447
194.03624511690793,182.69428584244997,0.35093665250000006,1.8900000000000001,-0.56,165.674465966683,154.02652347713533,188.867711608986,176.60961125562832
203.19859224049415,183.17983167658443,0.4913113135000001,2.45,-1.12,188.24509159536967,171.7425083968048,201.13879637218912,182.49787694557975
206.5650529325332,183.16728881776552,0.8071543007500002,3.29,-1.61,199.3634055925678,178.93337664938124,206.29566475881646,183.55328235176523
204.77514230907593,182.92990619520597,0.9826226270000001,4.2700000000000005,-1.6800000000000002,202.6806349529727,181.72329437687608,205.50947006053514,183.38669860174397
203.19859224049415,183.16728881776552,1.2633719490000002,5.040000000000001,-2.1700000000000004,203.10370905428556,182.89769104140976,203.73561149942492,183.36027961365343
198.43495050928504,183.35334205251266,1.50902760575,5.670000000000001,-2.5900000000000003,200.40071618998525,183.4230816480715,199.0195084320718,183.41182178639866
204.77514230907593,182.92990619520597,1.7195895972500002,6.510000000000001,-2.87,203.10959665803966,183.46317637635218,203.96616892329027,183.02013327900045
206.5650529325332,183.16728881776552,1.965245254,7.280000000000001,-3.43,205.2811326854358,183.5936438412002,206.54196313597959,183.1406992256202
201.8014112013241,183.3796853417413,2.35127557175,7.840000000000002,-3.9200000000000004,203.34771192206878,183.68926874152487,202.36241565696702,183.34846724202606
209.74488307942065,183.17983167658443,2.5969312285,8.610000000000001,-4.2,207.28427687917988,183.6916065025606,209.06009801931208,183.2135263966491
213.69006934198563,182.71555277600677,2.8776805505,9.100000000000001,-4.76,211.2400520856633,183.3019742666283,213.703163850018,182.7263218312395
206.5650529325332,183.16728881776552,3.0180552115,9.660000000000002,-4.97,208.49120245818526,183.44516299731063,207.20919804905247,183.1214766489106
203.19859224049415,183.16728881776552,3.3689918640000003,10.710000000000003,-4.97,205.4560109885706,183.69843848958357,203.16281034541007,183.20364287055418
209.74488307942065,183.16728881776552,3.61464752075,11.340000000000003,-5.319999999999999,208.12759650578062,183.63174868649276,209.25572927112492,183.15733788795472
219.80557296024253,182.69428584244997,3.8953968427500003,12.250000000000004,-5.459999999999999,215.24668210725775,183.43327098006708,219.58217495593368,182.72209214738052
204.77514230907593,182.9414665486056,4.24633349525,13.160000000000004,-5.529999999999999,209.10413288934865,183.5021883211902,205.70395659826593,182.91889968219655
208.30075753621216,182.92990619520597,4.5621764825,13.790000000000004,-5.39,208.74844487236675,183.41081904559968,207.7897241306891,182.92536064877876
206.5650529325332,182.70487753841954,4.73764480875,14.770000000000005,-5.81,207.50859703896663,183.3792541412916,206.64003004129194,182.722752710146
206.5650529325332,183.16728881776552,4.9833004655,15.610000000000005,-5.67,207.04073283780656,183.58807494717595,206.53902790658873,183.145321179787
204.77514230907593,182.92990619520597,5.2640497875,16.450000000000006,-6.02,205.79367824936818,183.52917369599396,204.81930507165066,182.94612877112067
204.77514230907593,182.92990619520597,5.509705444250001,17.360000000000007,-6.51,205.28081894789284,183.53361319552118,204.73442701336313,182.92752796868328
204.77514230907593,182.92990619520597,5.825548431500001,17.850000000000005,-6.859999999999999,205.10375015950268,183.36738899533208,204.77319518602474,182.9199260312408
